segment_id,COMET,chrF++,BLEU,is_bad_source,src_length,length_group_2,length_group_3
54,0.739741325378418,53.67547319930357,22.99798239981256,False,49,long,long
55,0.8245877623558044,48.970298718761754,17.364061117063237,False,80,long,long
56,0.7309074997901917,47.864732604827275,23.634720523185553,False,59,long,long
57,0.9129453301429749,50.631896644136546,11.868405219520977,False,10,short,short
58,0.7680717706680298,45.61241821313355,8.961646064353308,False,32,short,medium
59,0.8769596219062805,62.83808432760137,31.777003136760676,False,29,short,medium
60,0.813305675983429,59.19101035373831,40.05151899861983,False,48,long,long
61,0.8766958117485046,62.39044995248617,30.185047286552702,False,29,short,medium
62,0.8558835387229919,54.7993017290597,20.14807120322516,False,73,long,long
63,0.6596084237098694,50.75124135243022,25.01285628074912,False,49,long,long
64,0.7499359846115112,43.30423606012713,9.447742622933523,False,35,long,medium
65,0.8797620534896851,61.08351595576954,33.39417498853099,False,71,long,long
66,0.6024868488311768,42.42082831249768,24.549475440235113,False,7,short,short
67,0.8583218455314636,61.136291866838235,43.57917304166214,False,40,long,long
68,0.801293134689331,45.29770587053039,16.426513164972008,False,70,long,long
69,0.9133856892585754,62.45295921518845,18.355542600499454,False,16,short,medium
70,0.8627955913543701,50.067284154947814,17.026471729508522,False,15,short,medium
71,0.8915076851844788,59.085105851765405,31.932483952766383,False,39,long,long
72,0.8437963724136353,51.39822340647656,27.66420783654072,False,72,long,long
73,0.8571022152900696,57.9012741505871,26.82260354042106,False,64,long,long
74,0.8713567852973938,63.61854993031032,37.36348987452532,False,96,long,long
75,0.8815142512321472,63.14486795332548,33.61928420344313,False,49,long,long
76,0.8835468888282776,65.81261487190487,14.964792230771836,False,37,long,medium
77,0.8906277418136597,68.05373973050257,29.911867611725896,False,74,long,long
78,0.8813653588294983,48.72237485087208,10.307386760781874,False,15,short,medium
79,0.6793143153190613,30.076565736481953,8.910251805984947,False,15,short,medium
80,0.8213092684745789,49.49315160341185,16.428814958646605,False,54,long,long
81,0.8704022765159607,52.685056224462826,25.542433127241555,False,73,long,long
82,0.7935584783554077,44.76389935144528,15.20579088216141,False,64,long,long
83,0.8182154297828674,51.51822778454485,23.800223761708907,False,66,long,long
84,0.7965369820594788,49.652795086033635,19.64887333300981,False,45,long,long
85,0.844301164150238,46.07861347509125,12.346588115191668,False,49,long,long
86,0.9176411628723145,59.53653816668261,14.458924666162856,False,12,short,short
87,0.8324726819992065,32.79540575602842,4.016138436407654,False,12,short,short
88,0.909787118434906,68.55763782062259,41.95663356566712,False,26,short,medium
89,0.7807610630989075,55.72254323090041,18.59239744312462,False,68,long,long
90,0.8411948084831238,61.30340007164442,37.00822369057023,False,72,long,long
91,0.8738800883293152,61.62650189796709,29.66676177209477,False,91,long,long
92,0.868299663066864,58.33416278131936,21.51929575646453,False,34,long,medium
93,0.8558648228645325,63.69053949729929,44.34948256557315,False,54,long,long
94,0.8740343451499939,48.55318255399433,16.233395773754946,False,10,short,short
95,0.8302785754203796,40.14046601793936,10.839598838320107,False,45,long,long
96,0.7921046614646912,51.79970775145648,20.174586381037983,False,136,long,long
97,0.8553684949874878,52.1846220134045,20.27186221314043,False,66,long,long
98,0.8360360264778137,50.540059577962346,13.999591396832953,False,76,long,long
99,0.9087963700294496,48.943901355006915,24.11122798014721,False,17,short,medium
100,0.8415898680686951,43.849192222433544,6.71013896691818,False,79,long,long
101,0.8593578338623047,49.758111613357755,14.252337422831625,False,149,long,long
102,0.6627654433250427,26.89540136193508,2.908317710573758,False,14,short,medium
103,0.807732105255127,35.67250081405975,11.26718734000968,False,18,short,medium
104,0.8465930223464966,43.6188464435204,8.821755394657538,False,32,short,medium
105,0.8494088053703308,55.251400281595465,21.821496900276383,False,90,long,long
106,0.7553048729896545,38.70113933504331,6.211364865115477,False,56,long,long
107,0.8123462200164795,39.92348174389704,4.523612567423925,False,70,long,long
108,0.802958607673645,47.053448568031406,9.85802541425253,False,92,long,long
109,0.8153154253959656,51.60098967322816,28.392481565681734,False,37,long,medium
